case_id,step,timestamp,actor,duration_minutes,cost
TICKET_9,Created,2026-02-03T14:30:22.983663,system,1,0.05
TICKET_9,Assigned,2026-02-03T14:34:22.983663,system,4,0.2
TICKET_9,In_Progress,2026-02-03T17:32:22.983663,agent_1,178,53.4
TICKET_9,Approved,2026-02-04T00:18:22.983663,manager,406,487.2
TICKET_9,Closed,2026-02-04T00:20:22.983663,system,2,0.1
TICKET_10,Created,2026-02-03T14:32:22.983723,system,3,0.15
TICKET_10,Assigned,2026-02-03T14:34:22.983723,system,2,0.1
TICKET_10,In_Progress,2026-02-03T16:47:22.983723,agent_1,133,39.9
TICKET_10,Approved,2026-02-04T10:20:22.983723,manager,1053,421.2
TICKET_10,Closed,2026-02-04T10:24:22.983723,system,4,0.1
TICKET_11,Created,2026-02-03T14:33:22.983783,system,4,0.2
TICKET_11,Assigned,2026-02-03T14:38:22.983783,system,5,0.25
TICKET_11,In_Progress,2026-02-03T16:39:22.983783,agent_1,121,36.3
TICKET_11,Closed,2026-02-03T16:42:22.983783,system,3,0.15
TICKET_12,Created,2026-02-03T14:45:22.983831,system,16,0.2
TICKET_12,Assigned,2026-02-03T14:47:22.983831,system,2,0.1
TICKET_12,In_Progress,2026-02-03T15:56:22.983831,agent_1,69,20.7
TICKET_12,Closed,2026-02-03T15:59:22.983831,system,3,0.15
TICKET_13,Created,2026-02-03T14:33:22.983880,system,4,0.2
TICKET_13,Assigned,2026-02-03T14:38:22.983880,system,5,0.25
TICKET_13,In_Progress,2026-02-03T15:16:22.983880,agent_1,38,11.4
TICKET_13,Closed,2026-02-03T15:18:22.983880,system,2,0.05
TICKET_14,Created,2026-02-03T14:32:22.983933,system,3,0.15
TICKET_14,Assigned,2026-02-03T14:35:22.983933,system,3,0.15
TICKET_14,In_Progress,2026-02-03T15:44:22.983933,agent_1,69,20.7
TICKET_14,Closed,2026-02-03T15:47:22.983933,system,3,0.15
TICKET_15,Created,2026-02-03T14:32:22.983982,system,3,0.15
TICKET_15,Assigned,2026-02-03T14:36:22.983982,system,4,0.2
TICKET_15,In_Progress,2026-02-03T16:08:22.983982,agent_2,92,55.2
TICKET_15,Escalated,2026-02-03T20:42:22.983982,agent_2,274,164.4
TICKET_15,Approved,2026-02-05T02:24:22.983982,manager,1782,712.8
TICKET_15,Closed,2026-02-05T02:27:22.983982,system,3,0.15
TICKET_16,Created,2026-02-03T14:34:22.984054,system,5,0.25
TICKET_16,Assigned,2026-02-03T14:39:22.984054,system,5,0.25
TICKET_16,In_Progress,2026-02-03T16:18:22.984054,agent_1,99,29.7
TICKET_16,Escalated,2026-02-03T20:07:22.984054,agent_2,229,137.4
TICKET_16,Approved,2026-02-04T05:54:22.984054,manager,587,704.4
TICKET_16,Closed,2026-02-04T05:55:22.984054,system,1,0.05
TICKET_17,Created,2026-02-03T14:33:22.984126,system,4,0.2
TICKET_17,Assigned,2026-02-03T14:37:22.984126,system,4,0.2
TICKET_17,In_Progress,2026-02-03T15:33:22.984126,agent_1,56,16.8
TICKET_17,Escalated,2026-02-03T17:41:22.984126,agent_2,128,76.8
TICKET_17,In_Progress,2026-02-03T18:46:22.984126,agent_1,65,19.5
TICKET_17,Approved,2026-02-04T01:08:22.984126,manager,382,458.4
TICKET_17,Closed,2026-02-04T01:09:22.984126,system,1,0.05
TICKET_18,Created,2026-02-03T14:32:22.984211,system,3,0.05
TICKET_18,Assigned,2026-02-03T14:35:22.984211,system,3,0.15
TICKET_18,In_Progress,2026-02-03T16:59:22.984211,agent_1,144,43.2
TICKET_18,Escalated,2026-02-03T18:33:22.984211,agent_2,94,56.4
TICKET_18,In_Progress,2026-02-03T20:50:22.984211,agent_1,137,41.1
TICKET_18,Closed,2026-02-03T20:51:22.984211,system,1,0.05
TICKET_19,Created,2026-02-03T14:33:22.984283,system,4,0.2
TICKET_19,Assigned,2026-02-03T14:38:22.984283,system,5,0.25
TICKET_19,In_Progress,2026-02-03T17:17:22.984283,agent_1,159,47.7
TICKET_19,Closed,2026-02-03T17:19:22.984283,system,2,0.1
TICKET_20,Created,2026-02-03T14:34:22.984331,system,5,0.25
TICKET_20,Assigned,2026-02-03T14:38:22.984331,system,4,0.2
TICKET_20,In_Progress,2026-02-03T16:14:22.984331,agent_1,96,28.8
TICKET_20,Closed,2026-02-03T16:15:22.984331,system,1,0.05
TICKET_21,Created,2026-02-03T14:30:22.984379,system,1,0.05
TICKET_21,Assigned,2026-02-03T14:34:22.984379,system,4,0.2
TICKET_21,In_Progress,2026-02-03T15:46:22.984379,agent_1,72,21.6
TICKET_21,Escalated,2026-02-03T19:49:22.984379,agent_2,243,145.8
TICKET_21,In_Progress,2026-02-03T20:46:22.984379,agent_2,57,34.2
TICKET_21,Closed,2026-02-03T20:48:22.984379,system,2,0.05
TICKET_22,Created,2026-02-03T14:34:22.984451,system,5,0.25
TICKET_22,Assigned,2026-02-03T14:37:22.984451,system,3,0.15
TICKET_22,In_Progress,2026-02-03T18:43:22.984451,agent_1,246,36.9
TICKET_22,Escalated,2026-02-04T01:52:22.984451,agent_2,429,85.8
TICKET_22,In_Progress,2026-02-04T03:32:22.984451,agent_2,100,60.0
TICKET_22,Closed,2026-02-04T03:33:22.984451,system,1,0.05
TICKET_23,Created,2026-02-03T14:33:22.984525,system,4,0.2
TICKET_23,Assigned,2026-02-03T14:36:22.984525,system,3,0.15
TICKET_23,In_Progress,2026-02-03T15:27:22.984525,agent_1,51,15.3
TICKET_23,Escalated,2026-02-03T16:52:22.984525,agent_2,85,51.0
TICKET_23,Approved,2026-02-04T00:33:22.984525,manager,461,553.2
TICKET_23,Closed,2026-02-04T00:36:22.984525,system,3,0.15
TICKET_24,Created,2026-02-03T14:34:22.984603,system,5,0.25
TICKET_24,Assigned,2026-02-03T14:37:22.984603,system,3,0.15
TICKET_24,In_Progress,2026-02-03T17:18:22.984603,agent_2,161,96.6
TICKET_24,Escalated,2026-02-03T21:44:22.984603,agent_2,266,159.6
TICKET_24,In_Progress,2026-02-04T00:33:22.984603,agent_1,169,50.7
TICKET_24,Closed,2026-02-04T00:35:22.984603,system,2,0.1
TICKET_25,Created,2026-02-03T14:32:22.984676,system,3,0.15
TICKET_25,Assigned,2026-02-03T14:35:22.984676,system,3,0.15
TICKET_25,In_Progress,2026-02-03T15:30:22.984676,agent_2,55,33.0
TICKET_25,Escalated,2026-02-03T16:45:22.984676,agent_2,75,45.0
TICKET_25,In_Progress,2026-02-03T19:33:22.984676,agent_2,168,100.8
TICKET_25,Approved,2026-02-04T02:33:22.984676,manager,420,504.0
TICKET_25,Closed,2026-02-04T02:36:22.984676,system,3,0.15
TICKET_26,Created,2026-02-03T14:30:22.984763,system,1,0.05
TICKET_26,Assigned,2026-02-03T14:35:22.984763,system,5,0.25
TICKET_26,In_Progress,2026-02-03T16:18:22.984763,agent_1,103,30.9
TICKET_26,Escalated,2026-02-03T18:16:22.984763,agent_2,118,70.8
TICKET_26,In_Progress,2026-02-03T19:54:22.984763,agent_2,98,58.8
TICKET_26,Closed,2026-02-03T19:57:22.984763,system,3,0.15
TICKET_27,Created,2026-02-03T14:33:22.984835,system,4,0.2
TICKET_27,Assigned,2026-02-03T14:38:22.984835,system,5,0.25
TICKET_27,In_Progress,2026-02-03T16:32:22.984835,agent_2,114,68.4
TICKET_27,Closed,2026-02-03T16:33:22.984835,system,1,0.05
TICKET_28,Created,2026-02-03T14:31:22.984883,system,2,0.1
TICKET_28,Assigned,2026-02-03T14:33:22.984883,system,2,0.1
TICKET_28,In_Progress,2026-02-03T17:09:22.984883,agent_1,156,46.8
TICKET_28,Closed,2026-02-03T17:12:22.984883,system,3,0.15
TICKET_29,Created,2026-02-03T14:31:22.984930,system,2,0.1
TICKET_29,Assigned,2026-02-03T14:33:22.984930,system,2,0.1
TICKET_29,In_Progress,2026-02-03T16:37:22.984930,agent_1,124,37.2
TICKET_29,Closed,2026-02-03T16:40:22.984930,system,3,0.15
TICKET_30,Created,2026-02-03T14:31:22.984977,system,2,0.1
TICKET_30,Assigned,2026-02-03T14:34:22.984977,system,3,0.15
TICKET_30,In_Progress,2026-02-03T16:41:22.984977,agent_2,127,76.2
TICKET_30,Escalated,2026-02-03T18:53:22.984977,agent_2,132,79.2
TICKET_30,In_Progress,2026-02-03T19:32:22.984977,agent_2,39,23.4
TICKET_30,Closed,2026-02-03T19:33:22.984977,system,1,0.05
TICKET_31,Created,2026-02-03T14:31:22.985049,system,2,0.1
TICKET_31,Assigned,2026-02-03T14:37:22.985049,system,6,0.15
TICKET_31,In_Progress,2026-02-03T16:01:22.985049,agent_1,84,25.2
TICKET_31,Escalated,2026-02-04T03:16:22.985049,agent_2,675,135.0
TICKET_31,Approved,2026-02-04T10:50:22.985049,manager,454,544.8
TICKET_31,Closed,2026-02-04T10:52:22.985049,system,2,0.1
TICKET_32,Created,2026-02-03T14:33:22.985122,system,4,0.2
TICKET_32,Assigned,2026-02-03T14:35:22.985122,system,2,0.1
TICKET_32,In_Progress,2026-02-03T15:34:22.985122,agent_2,59,35.4
TICKET_32,Escalated,2026-02-03T19:21:22.985122,agent_2,227,136.2
TICKET_32,In_Progress,2026-02-03T21:21:22.985122,agent_2,120,72.0
TICKET_32,Closed,2026-02-03T21:25:22.985122,system,4,0.1
TICKET_33,Created,2026-02-03T14:31:22.985195,system,2,0.1
TICKET_33,Assigned,2026-02-03T14:35:22.985195,system,4,0.2
TICKET_33,In_Progress,2026-02-03T15:21:22.985195,agent_2,46,27.6
TICKET_33,Closed,2026-02-03T15:24:22.985195,system,3,0.15
TICKET_34,Created,2026-02-03T14:33:22.985243,system,4,0.2
TICKET_34,Assigned,2026-02-03T14:36:22.985243,system,3,0.15
TICKET_34,In_Progress,2026-02-03T16:57:22.985243,agent_2,141,84.6
TICKET_34,Closed,2026-02-03T17:00:22.985243,system,3,0.15
TICKET_35,Created,2026-02-03T14:33:22.985291,system,4,0.2
TICKET_35,Assigned,2026-02-03T14:38:22.985291,system,5,0.25
TICKET_35,In_Progress,2026-02-03T17:10:22.985291,agent_2,152,91.2
TICKET_35,Closed,2026-02-03T17:12:22.985291,system,2,0.1
TICKET_36,Created,2026-02-03T14:32:22.985339,system,3,0.15
TICKET_36,Assigned,2026-02-03T14:37:22.985339,system,5,0.25
TICKET_36,In_Progress,2026-02-03T17:26:22.985339,agent_1,169,50.7
TICKET_36,Approved,2026-02-03T19:45:22.985339,manager,139,166.8
TICKET_36,Closed,2026-02-03T19:47:22.985339,system,2,0.1
TICKET_37,Created,2026-02-03T14:31:22.985398,system,2,0.1
TICKET_37,Assigned,2026-02-03T14:34:22.985398,system,3,0.15
TICKET_37,In_Progress,2026-02-03T15:23:22.985398,agent_2,49,29.4
TICKET_37,Closed,2026-02-03T15:31:22.985398,system,8,0.1
TICKET_38,Created,2026-02-03T14:34:22.985446,system,5,0.25
TICKET_38,Assigned,2026-02-03T14:39:22.985446,system,5,0.25
TICKET_38,In_Progress,2026-02-03T15:34:22.985446,agent_2,55,33.0
TICKET_38,Closed,2026-02-03T15:36:22.985446,system,2,0.1
TICKET_39,Created,2026-02-03T14:32:22.985494,system,3,0.15
TICKET_39,Assigned,2026-02-03T14:37:22.985494,system,5,0.25
TICKET_39,In_Progress,2026-02-03T15:20:22.985494,agent_1,43,12.9
TICKET_39,Closed,2026-02-03T15:23:22.985494,system,3,0.15
TICKET_40,Created,2026-02-03T14:33:22.985547,system,4,0.2
TICKET_40,Assigned,2026-02-03T14:38:22.985547,system,5,0.25
TICKET_40,In_Progress,2026-02-03T15:57:22.985547,agent_1,79,23.7
TICKET_40,Approved,2026-02-03T22:16:22.985547,manager,379,454.8
TICKET_40,Closed,2026-02-03T22:19:22.985547,system,3,0.15
TICKET_41,Created,2026-02-03T14:31:22.985612,system,2,0.1
TICKET_41,Assigned,2026-02-03T14:51:22.985612,system,20,0.25
TICKET_41,In_Progress,2026-02-03T15:32:22.985612,agent_1,41,12.3
TICKET_41,Closed,2026-02-03T15:35:22.985612,system,3,0.15
TICKET_42,Created,2026-02-03T14:34:22.985661,system,5,0.25
TICKET_42,Assigned,2026-02-03T14:39:22.985661,system,5,0.25
TICKET_42,In_Progress,2026-02-03T15:56:22.985661,agent_1,77,23.1
TICKET_42,Closed,2026-02-03T15:59:22.985661,system,3,0.15
TICKET_43,Created,2026-02-03T14:32:22.985709,system,3,0.15
TICKET_43,Assigned,2026-02-03T14:34:22.985709,system,2,0.1
TICKET_43,In_Progress,2026-02-03T15:41:22.985709,agent_2,67,40.2
TICKET_43,Approved,2026-02-04T01:35:22.985709,manager,594,712.8
TICKET_43,Closed,2026-02-04T01:36:22.985709,system,1,0.05
TICKET_44,Created,2026-02-03T14:32:22.985769,system,3,0.15
TICKET_44,Assigned,2026-02-03T14:36:22.985769,system,4,0.2
TICKET_44,In_Progress,2026-02-03T16:16:22.985769,agent_1,100,30.0
TICKET_44,Closed,2026-02-03T16:17:22.985769,system,1,0.05
TICKET_45,Created,2026-02-03T14:33:22.985817,system,4,0.2
TICKET_45,Assigned,2026-02-03T14:35:22.985817,system,2,0.1
TICKET_45,In_Progress,2026-02-03T17:00:22.985817,agent_1,145,43.5
TICKET_45,Escalated,2026-02-03T18:38:22.985817,agent_2,98,58.8
TICKET_45,In_Progress,2026-02-03T20:59:22.985817,agent_2,141,84.6
TICKET_45,Escalated,2026-02-04T01:57:22.985817,agent_2,298,178.8
TICKET_45,In_Progress,2026-02-04T04:56:22.985817,agent_1,179,53.7
TICKET_45,Escalated,2026-02-04T08:00:22.985817,agent_2,184,110.4
TICKET_45,In_Progress,2026-02-04T08:31:22.985817,agent_1,31,9.3
TICKET_45,Closed,2026-02-04T08:32:22.985817,system,1,0.05
TICKET_46,Created,2026-02-03T14:30:22.985938,system,1,0.05
TICKET_46,Assigned,2026-02-03T14:32:22.985938,system,2,0.1
TICKET_46,In_Progress,2026-02-03T17:21:22.985938,agent_2,169,101.4
TICKET_46,Escalated,2026-02-03T21:50:22.985938,agent_2,269,161.4
TICKET_46,In_Progress,2026-02-03T22:54:22.985938,agent_2,64,38.4
TICKET_46,Closed,2026-02-03T22:56:22.985938,system,2,0.1
TICKET_47,Created,2026-02-03T14:32:22.986009,system,3,0.15
TICKET_47,Assigned,2026-02-03T14:34:22.986009,system,2,0.1
TICKET_47,In_Progress,2026-02-03T17:09:22.986009,agent_2,155,93.0
TICKET_47,Approved,2026-02-04T12:15:22.986009,manager,1146,458.4
TICKET_47,Closed,2026-02-04T12:16:22.986009,system,1,0.05
TICKET_48,Created,2026-02-03T14:30:22.986070,system,1,0.05
TICKET_48,Assigned,2026-02-03T14:35:22.986070,system,5,0.25
TICKET_48,In_Progress,2026-02-03T15:31:22.986070,agent_1,56,16.8
TICKET_48,Approved,2026-02-03T19:17:22.986070,manager,226,271.2
TICKET_48,Closed,2026-02-03T19:18:22.986070,system,1,0.05
TICKET_49,Created,2026-02-03T14:33:22.986130,system,4,0.2
TICKET_49,Assigned,2026-02-03T14:37:22.986130,system,4,0.2
TICKET_49,In_Progress,2026-02-03T16:30:22.986130,agent_2,113,67.8
TICKET_49,Approved,2026-02-04T04:51:22.986130,manager,741,296.4
TICKET_49,Closed,2026-02-04T04:54:22.986130,system,3,0.15
TICKET_50,Created,2026-02-03T14:32:22.986190,system,3,0.15
TICKET_50,Assigned,2026-02-03T14:37:22.986190,system,5,0.25
TICKET_50,In_Progress,2026-02-03T15:51:22.986190,agent_1,74,22.2
TICKET_50,Approved,2026-02-03T20:21:22.986190,manager,270,324.0
TICKET_50,Closed,2026-02-03T20:23:22.986190,system,2,0.1
TICKET_51,Created,2026-02-03T14:30:22.986250,system,1,0.05
TICKET_51,Assigned,2026-02-03T14:35:22.986250,system,5,0.25
TICKET_51,In_Progress,2026-02-03T16:50:22.986250,agent_1,135,40.5
TICKET_51,Closed,2026-02-03T16:53:22.986250,system,3,0.15
TICKET_52,Created,2026-02-03T14:30:22.986297,system,1,0.05
TICKET_52,Assigned,2026-02-03T14:38:22.986297,system,8,0.1
TICKET_52,In_Progress,2026-02-03T15:27:22.986297,agent_1,49,14.7
TICKET_52,Approved,2026-02-04T00:24:22.986297,manager,537,644.4
TICKET_52,Closed,2026-02-04T00:26:22.986297,system,2,0.1
TICKET_53,Created,2026-02-03T14:31:22.986360,system,2,0.1
TICKET_53,Assigned,2026-02-03T14:36:22.986360,system,5,0.25
TICKET_53,In_Progress,2026-02-03T16:21:22.986360,agent_2,105,63.0
TICKET_53,Approved,2026-02-03T23:40:22.986360,manager,439,526.8
TICKET_53,Closed,2026-02-03T23:41:22.986360,system,1,0.05
TICKET_54,Created,2026-02-03T14:30:22.986420,system,1,0.05
TICKET_54,Assigned,2026-02-03T14:35:22.986420,system,5,0.25
TICKET_54,In_Progress,2026-02-03T17:06:22.986420,agent_2,151,90.6
TICKET_54,Approved,2026-02-03T20:11:22.986420,manager,185,222.0
TICKET_54,Closed,2026-02-03T20:12:22.986420,system,1,0.05
TICKET_55,Created,2026-02-03T14:33:22.986479,system,4,0.2
TICKET_55,Assigned,2026-02-03T14:37:22.986479,system,4,0.2
TICKET_55,In_Progress,2026-02-03T16:57:22.986479,agent_1,140,42.0
TICKET_55,Closed,2026-02-03T17:00:22.986479,system,3,0.15
TICKET_56,Created,2026-02-03T14:31:22.986527,system,2,0.1
TICKET_56,Assigned,2026-02-03T14:36:22.986527,system,5,0.25
TICKET_56,In_Progress,2026-02-03T15:39:22.986527,agent_1,63,18.9
TICKET_56,Approved,2026-02-04T09:00:22.986527,manager,1041,416.4
TICKET_56,Closed,2026-02-04T09:03:22.986527,system,3,0.15
TICKET_57,Created,2026-02-03T14:32:22.986592,system,3,0.15
TICKET_57,Assigned,2026-02-03T14:36:22.986592,system,4,0.2
TICKET_57,In_Progress,2026-02-03T16:59:22.986592,agent_2,143,85.8
TICKET_57,Escalated,2026-02-03T20:48:22.986592,agent_2,229,137.4
TICKET_57,In_Progress,2026-02-03T21:19:22.986592,agent_2,31,18.6
TICKET_57,Approved,2026-02-03T23:19:22.986592,manager,120,144.0
TICKET_57,Closed,2026-02-03T23:22:22.986592,system,3,0.15
TICKET_58,Created,2026-02-03T14:31:22.986676,system,2,0.1
TICKET_58,Assigned,2026-02-03T14:34:22.986676,system,3,0.15
TICKET_58,In_Progress,2026-02-03T18:40:22.986676,agent_1,246,24.6
TICKET_58,Approved,2026-02-04T01:40:22.986676,manager,420,168.0
TICKET_58,Closed,2026-02-04T01:42:22.986676,system,2,0.1
TICKET_59,Created,2026-02-03T14:32:22.986736,system,3,0.15
TICKET_59,Assigned,2026-02-03T14:37:22.986736,system,5,0.25
TICKET_59,In_Progress,2026-02-03T16:19:22.986736,agent_1,102,15.3
TICKET_59,Approved,2026-02-04T00:33:22.986736,manager,494,592.8
TICKET_59,Closed,2026-02-04T00:36:22.986736,system,3,0.15
TICKET_60,Created,2026-02-03T14:33:22.986795,system,4,0.2
TICKET_60,Assigned,2026-02-03T14:35:22.986795,system,2,0.1
TICKET_60,In_Progress,2026-02-03T17:00:22.986795,agent_1,145,43.5
TICKET_60,Escalated,2026-02-03T21:06:22.986795,agent_2,246,147.6
TICKET_60,In_Progress,2026-02-03T23:23:22.986795,agent_1,137,41.1
TICKET_60,Escalated,2026-02-04T01:45:22.986795,agent_2,142,85.2
TICKET_60,Approved,2026-02-04T07:57:22.986795,manager,372,446.4
TICKET_60,Closed,2026-02-04T07:58:22.986795,system,1,0.05
TICKET_61,Created,2026-02-03T14:32:22.986900,system,3,0.15
TICKET_61,Assigned,2026-02-03T14:36:22.986900,system,4,0.2
TICKET_61,In_Progress,2026-02-03T16:06:22.986900,agent_2,90,54.0
TICKET_61,Closed,2026-02-03T16:08:22.986900,system,2,0.1
TICKET_62,Created,2026-02-03T14:34:22.986948,system,5,0.25
TICKET_62,Assigned,2026-02-03T14:49:22.986948,system,15,0.25
TICKET_62,In_Progress,2026-02-03T19:49:22.986948,agent_2,300,45.0
TICKET_62,Escalated,2026-02-03T23:24:22.986948,agent_2,215,129.0
TICKET_62,In_Progress,2026-02-04T01:12:22.986948,agent_2,108,64.8
TICKET_62,Approved,2026-02-05T00:00:22.986948,manager,1368,547.2
TICKET_62,Closed,2026-02-05T00:03:22.986948,system,3,0.15
TICKET_63,Created,2026-02-03T14:34:22.987033,system,5,0.25
TICKET_63,Assigned,2026-02-03T14:39:22.987033,system,5,0.25
TICKET_63,In_Progress,2026-02-03T17:24:22.987033,agent_1,165,49.5
TICKET_63,Escalated,2026-02-03T21:34:22.987033,agent_2,250,150.0
TICKET_63,In_Progress,2026-02-03T22:36:22.987033,agent_1,62,18.6
TICKET_63,Escalated,2026-02-04T03:23:22.987033,agent_2,287,172.2
TICKET_63,In_Progress,2026-02-04T06:22:22.987033,agent_1,179,53.7
TICKET_63,Escalated,2026-02-04T08:13:22.987033,agent_2,111,66.6
TICKET_63,In_Progress,2026-02-04T10:55:22.987033,agent_2,162,97.2
TICKET_63,Closed,2026-02-04T10:57:22.987033,system,2,0.1
TICKET_64,Created,2026-02-03T14:34:22.987157,system,5,0.25
TICKET_64,Assigned,2026-02-03T14:37:22.987157,system,3,0.15
TICKET_64,In_Progress,2026-02-03T17:03:22.987157,agent_1,146,43.8
TICKET_64,Closed,2026-02-03T17:05:22.987157,system,2,0.1
TICKET_65,Created,2026-02-03T14:34:22.987205,system,5,0.25
TICKET_65,Assigned,2026-02-03T14:39:22.987205,system,5,0.25
TICKET_65,In_Progress,2026-02-03T16:07:22.987205,agent_1,88,26.4
TICKET_65,Approved,2026-02-03T21:47:22.987205,manager,340,408.0
TICKET_65,Closed,2026-02-03T21:50:22.987205,system,3,0.15
TICKET_66,Created,2026-02-03T14:32:22.987265,system,3,0.15
TICKET_66,Assigned,2026-02-03T14:37:22.987265,system,5,0.25
TICKET_66,In_Progress,2026-02-03T16:00:22.987265,agent_2,83,49.8
TICKET_66,Escalated,2026-02-03T17:11:22.987265,agent_2,71,42.6
TICKET_66,In_Progress,2026-02-03T18:31:22.987265,agent_2,80,48.0
TICKET_66,Closed,2026-02-03T18:33:22.987265,system,2,0.1
TICKET_67,Created,2026-02-03T14:34:22.987337,system,5,0.25
TICKET_67,Assigned,2026-02-03T14:36:22.987337,system,2,0.1
TICKET_67,In_Progress,2026-02-03T17:23:22.987337,agent_1,167,50.1
TICKET_67,Escalated,2026-02-03T19:40:22.987337,agent_2,137,82.2
TICKET_67,Approved,2026-02-04T22:25:22.987337,manager,1605,642.0
TICKET_67,Closed,2026-02-04T22:27:22.987337,system,2,0.1
TICKET_68,Created,2026-02-03T14:34:22.987408,system,5,0.25
TICKET_68,Assigned,2026-02-03T14:40:22.987408,system,6,0.1
TICKET_68,In_Progress,2026-02-03T16:51:22.987408,agent_2,131,78.6
TICKET_68,Escalated,2026-02-03T19:20:22.987408,agent_2,149,89.4
TICKET_68,Approved,2026-02-04T15:38:22.987408,manager,1218,487.2
TICKET_68,Closed,2026-02-04T15:39:22.987408,system,1,0.05
TICKET_69,Created,2026-02-03T14:31:22.987481,system,2,0.1
TICKET_69,Assigned,2026-02-03T14:35:22.987481,system,4,0.2
TICKET_69,In_Progress,2026-02-03T16:13:22.987481,agent_2,98,58.8
TICKET_69,Approved,2026-02-04T14:04:22.987481,manager,1311,524.4
TICKET_69,Closed,2026-02-04T14:05:22.987481,system,1,0.05
TICKET_70,Created,2026-02-03T14:34:22.987541,system,5,0.25
TICKET_70,Assigned,2026-02-03T14:39:22.987541,system,5,0.25
TICKET_70,In_Progress,2026-02-03T17:00:22.987541,agent_1,141,42.3
TICKET_70,Escalated,2026-02-03T21:50:22.987541,agent_2,290,174.0
TICKET_70,In_Progress,2026-02-04T00:27:22.987541,agent_1,157,47.1
TICKET_70,Closed,2026-02-04T00:28:22.987541,system,1,0.05
TICKET_71,Created,2026-02-03T14:32:22.987619,system,3,0.15
TICKET_71,Assigned,2026-02-03T14:34:22.987619,system,2,0.1
TICKET_71,In_Progress,2026-02-03T17:19:22.987619,agent_2,165,33.0
TICKET_71,Closed,2026-02-03T17:22:22.987619,system,3,0.15
TICKET_72,Created,2026-02-03T14:31:22.987667,system,2,0.1
TICKET_72,Assigned,2026-02-03T14:34:22.987667,system,3,0.15
TICKET_72,In_Progress,2026-02-03T15:45:22.987667,agent_2,71,42.6
TICKET_72,Closed,2026-02-03T15:47:22.987667,system,2,0.1
TICKET_73,Created,2026-02-03T14:32:22.987715,system,3,0.15
TICKET_73,Assigned,2026-02-03T14:37:22.987715,system,5,0.25
